from_id,to_id,travel_time,population,schools,healthcare
89a901291abffff,89a90129c3bffff,32,0,0,0
89a901291abffff,89a90129d23ffff,51,0,0,0
89a901291abffff,89a90128113ffff,49,0,0,0
89a901291abffff,89a9012ae07ffff,56,0,0,0
89a901291abffff,89a90128687ffff,55,0,0,0
89a901291abffff,89a90129e8bffff,31,0,0,0
89a901291abffff,89a90129d0fffff,50,0,0,0
89a901291abffff,89a901298d7ffff,45,0,0,0
89a901291abffff,89a9012b063ffff,66,0,0,0
89a901291abffff,89a90129e67ffff,35,0,0,1
89a901291abffff,89a9012988fffff,39,0,0,0
89a901291abffff,89a90128543ffff,36,0,0,0
89a901291abffff,89a9012a307ffff,52,0,0,0
89a901291abffff,89a9012b11bffff,52,0,0,0
89a901291abffff,89a90128293ffff,37,0,1,1
89a901291abffff,89a90128257ffff,29,0,0,1
89a901291abffff,89a90129acbffff,38,0,1,0
89a901291abffff,89a9012b313ffff,74,0,0,0
89a901291abffff,89a901282c7ffff,36,0,0,0
89a901291abffff,89a90128043ffff,29,0,1,0
89a901291abffff,89a9012ae77ffff,64,0,0,0
89a901291abffff,89a9012866bffff,38,0,1,0
89a901291abffff,89a90128a8bffff,49,0,0,0
89a901291abffff,89a9012b1a3ffff,63,0,0,0
89a901291abffff,89a90128617ffff,55,0,0,0
89a901291abffff,89a90128007ffff,39,0,0,0
89a901291abffff,89a901282abffff,31,0,0,0
89a901291abffff,89a901283d3ffff,33,0,0,0
89a901291abffff,89a90129d93ffff,38,0,1,0
89a901291abffff,89a90129dc7ffff,49,0,0,0
89a901291abffff,89a90128e0fffff,44,0,0,0
89a901291abffff,89a9012a14fffff,45,0,1,0
89a901291abffff,89a9012ae5bffff,52,0,0,1
89a901291abffff,89a9012a377ffff,43,0,0,0
89a901291abffff,89a90129ed3ffff,27,0,0,0
89a901291abffff,89a9012884bffff,49,0,0,1
89a901291abffff,89a9012aa47ffff,56,0,0,0
89a901291abffff,89a90128437ffff,47,0,0,0
89a901291abffff,89a9012a167ffff,58,0,0,0
